x,y,z,nx,ny,nz
7.619940000000000394e-03,-7.261530000000000415e-03,1.078259999999999982e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.578739999999999609e-03,-7.206549999999999935e-03,1.084169999999999925e-02,-4.546162675847904011e-01,6.066699609662989934e-01,6.521315877247655379e-01
7.427869999999999612e-03,-7.006049999999999778e-03,1.105079999999999951e-02,-4.619038501200136149e-01,6.138511430308397632e-01,6.401809177443823495e-01
7.427350000000000098e-03,-7.005159999999999859e-03,1.105180000000000051e-02,-3.620815243873945488e-01,6.197164552020248962e-01,6.963106238232599221e-01
7.363129999999999849e-03,-6.894820000000000289e-03,1.118410000000000064e-02,-3.492982766667337979e-01,6.001490477640470944e-01,7.195914357366668401e-01
7.337899999999999631e-03,-6.864239999999999751e-03,1.121650000000000078e-02,-4.927725634039347158e-01,5.972645655526143127e-01,6.328113774985103523e-01
7.319449999999999915e-03,-6.844249999999999640e-03,1.123590000000000005e-02,-5.521966038097224638e-01,5.982878108485952806e-01,5.806294912687469667e-01
7.319400000000000212e-03,-6.844199999999999937e-03,1.123590000000000005e-02,-7.071067811865475727e-01,7.071067811865475727e-01,0.000000000000000000e+00
7.012130000000000099e-03,-6.503970000000000411e-03,1.165069999999999995e-02,-4.970013618405905165e-01,5.503133183813058160e-01,6.709283851058575054e-01
6.868599999999999879e-03,-6.408419999999999742e-03,1.185600000000000022e-02,-5.353556822266853921e-01,3.563940321658194410e-01,7.657529545122168102e-01
6.821790000000000319e-03,-6.376090000000000056e-03,1.192730000000000005e-02,-5.131856437094640677e-01,3.544390485179869099e-01,7.816734970409110472e-01
6.616450000000000282e-03,-6.210270000000000373e-03,1.217569999999999937e-02,-5.665476642553021192e-01,4.575091735015778815e-01,6.853532667820037005e-01
6.505269999999999629e-03,-6.147520000000000068e-03,1.226640000000000022e-02,-7.099401927323171213e-01,4.006902958621411659e-01,5.791650969672726967e-01
6.330879999999999667e-03,-6.054559999999999630e-03,1.245429999999999975e-02,-6.395173680302677077e-01,3.408999055685187352e-01,6.890608031015943435e-01
6.208520000000000358e-03,-5.958989999999999947e-03,1.259380000000000048e-02,-5.862277867353063998e-01,4.578766719376705652e-01,6.683456705588112223e-01
6.201060000000000426e-03,-5.952129999999999921e-03,1.260219999999999917e-02,-5.667292603089575387e-01,5.211478184610588427e-01,6.381401858705820773e-01
5.894899999999999793e-03,-5.781389999999999967e-03,1.289629999999999943e-02,-6.690828756315559955e-01,3.731356486325176358e-01,6.427269196604402657e-01
5.658469999999999646e-03,-5.594469999999999825e-03,1.319870000000000071e-02,-5.537685884928689184e-01,4.378057969000848648e-01,7.082841482055752813e-01
5.381099999999999772e-03,-5.489570000000000040e-03,1.344069999999999987e-02,-7.246653928560919944e-01,2.740649663287447746e-01,6.322566430081614230e-01
4.919680000000000060e-03,-5.223359999999999809e-03,1.392380000000000007e-02,-6.416278401393674669e-01,3.701784650069378513e-01,6.717749763151331654e-01
4.908980000000000288e-03,-5.217409999999999583e-03,1.393370000000000025e-02,-6.795842802191459642e-01,3.778996698415101330e-01,6.287742405766182374e-01
4.747880000000000329e-03,-5.101829999999999907e-03,1.411590000000000067e-02,-5.982741277682575021e-01,4.292273351176599805e-01,6.766328124107807707e-01
4.337399999999999936e-03,-4.952329999999999580e-03,1.454289999999999923e-02,-6.719498292322102495e-01,2.447293399683676818e-01,6.989928305450997525e-01
4.327420000000000225e-03,-4.944030000000000299e-03,1.455539999999999959e-02,-5.538120240213721956e-01,4.605851502381887452e-01,6.936523346961473990e-01
4.091359999999999615e-03,-4.756960000000000181e-03,1.477039999999999950e-02,-6.378963129994230652e-01,5.055124259628985817e-01,5.809866444754534509e-01
4.089859999999999850e-03,-4.755099999999999952e-03,1.477209999999999981e-02,-5.115076502678127524e-01,6.342694863322653198e-01,5.797086703037183097e-01
3.715539999999999815e-03,-4.292119999999999963e-03,1.519859999999999961e-02,-5.111066413888349924e-01,6.321654008073380737e-01,5.823546231896185033e-01
